REG_NAME,REG_CODE,ADM_STATUS,DIST_CODE,EA_NUMBER,EA_CODE,TA_CODE,TA_NAME,TPA,TOTAL_MALE,TOTAL_FEMA,TOTAL_HH,_sum,DIST_NAME2,POPULATION,district_name,total_population
Central,2,Rural,203,802.0,20307802.0,20307.0,TA Malenga,Kamsonga Town Planning Area,331.0,302.0,145.0,723.0077613057562,Ntchisi District,633 people,ntchisi,  633  
Central,2,Rural,203,25.0,20307025.0,20307.0,TA Malenga,,507.0,499.0,226.0,934.3595297773437,NTCHISI,1006 people,ntchisi,"1,006"
Central,2,Rural,203,7.0,20307007.0,20307.0,TA Malenga,,740.0,763.0,338.0,1331.3597811519935,  Ntchisi  ,1503,Ntchisi,"1,503"
Central,2,Rural,203,5.0,20307005.0,20307.0,TA Malenga,,553.0,586.0,251.0,1158.6974168547704,Ntchisi,"1,139",Ntchisi District,1139.0
Central,2,Rural,203,12.0,20307012.0,20307.0,TA Malenga,,668.0,732.0,284.0,1036.045462169678,NTCHISI,1400.0,  Ntchisi  ,1400
Central,2,Rural,203,13.0,20307013.0,20307.0,TA Malenga,,567.0,553.0,272.0,1270.3144952308696,ntchisi,1120,Ntchisi,1120
Central,2,Rural,203,6.0,20307006.0,20307.0,TA Malenga,,452.0,499.0,214.0,1037.8534339535838,Ntchisi District,951,Ntchisi,951.0
Central,2,Rural,203,11.0,20307011.0,20307.0,TA Malenga,,627.0,650.0,295.0,1154.9028321125113,Ntchisi,"1,277",  Ntchisi  ,1277 people
Central,2,Rural,203,9.0,20307009.0,20307.0,TA Malenga,,371.0,376.0,166.0,920.7358105941661,ntchisi,747 people,NTCHISI,  747  
Central,2,Rural,203,10.0,20307010.0,20307.0,TA Malenga,,386.0,399.0,165.0,960.4046074833288,ntchisi,785,Ntchisi,785
Central,2,Rural,203,45.0,20307045.0,20307.0,TA Malenga,,329.0,354.0,153.0,629.9049738570412,ntchisi,683 people,  Ntchisi  ,683
Central,2,Rural,203,50.0,20307050.0,20307.0,TA Malenga,,610.0,594.0,288.0,813.2920631784357,Ntchisi District,1204.0,Ntchisi,1204
Central,2,Rural,203,51.0,20307051.0,20307.0,TA Malenga,,470.0,449.0,196.0,623.1566640190314,Ntchisi,919,ntchisi,919
Central,2,Rural,203,47.0,20307047.0,20307.0,TA Malenga,,502.0,499.0,223.0,888.9876830992122,NTCHISI,1001 people,ntchisi,1001.0
Central,2,Rural,203,49.0,20307049.0,20307.0,TA Malenga,,451.0,470.0,182.0,831.983819101264,Ntchisi,921 people,Ntchisi,921 people
Central,2,Rural,203,48.0,20307048.0,20307.0,TA Malenga,,526.0,574.0,233.0,1015.9127797432036,ntchisi,1100.0,Ntchisi,  1100  
Central,2,Rural,203,15.0,20307015.0,20307.0,TA Malenga,,508.0,520.0,219.0,930.92510391811,ntchisi,1028 people,ntchisi,"1,028"
Central,2,Rural,203,16.0,20307016.0,20307.0,TA Malenga,,438.0,486.0,209.0,736.2998575043849,Ntchisi,924 people,NTCHISI,924 people
Central,2,Rural,203,32.0,20307032.0,20307.0,TA Malenga,,580.0,576.0,258.0,644.3216436309235,ntchisi,1156,Ntchisi District,1156.0
Central,2,Rural,203,34.0,20307034.0,20307.0,TA Malenga,,588.0,631.0,265.0,1247.90639500959,  Ntchisi  ,1219,Ntchisi,1219
Central,2,Rural,203,36.0,20307036.0,20307.0,TA Malenga,,484.0,518.0,249.0,1191.1349339343308,Ntchisi,  1002  ,Ntchisi,"1,002"
Central,2,Rural,203,35.0,20307035.0,20307.0,TA Malenga,,487.0,503.0,223.0,1122.5972929484644,Ntchisi,990 people,Ntchisi District,  990  
Central,2,Rural,203,14.0,20307014.0,20307.0,TA Malenga,,356.0,361.0,148.0,578.0913452987442,Ntchisi District,717,ntchisi,717
Central,2,Rural,203,28.0,20307028.0,20307.0,TA Malenga,,543.0,558.0,253.0,1179.111399246391,  Ntchisi  ,1101,  Ntchisi  ,1101.0
Central,2,Rural,203,33.0,20307033.0,20307.0,TA Malenga,,640.0,657.0,289.0,1064.198958228524,Ntchisi,1297.0,  Ntchisi  ,1297 people
Central,2,Rural,203,31.0,20307031.0,20307.0,TA Malenga,,594.0,682.0,246.0,1180.8702510458515,Ntchisi,  1276  ,Ntchisi,1276.0
Central,2,Rural,203,17.0,20307017.0,20307.0,TA Malenga,,322.0,354.0,150.0,1456.5522902188654,NTCHISI,  676  ,NTCHISI,676
Central,2,Rural,203,40.0,20307040.0,20307.0,TA Malenga,,292.0,306.0,135.0,400.4716637019215,Ntchisi District,598,NTCHISI,  598  
Central,2,Rural,203,42.0,20307042.0,20307.0,TA Malenga,,474.0,518.0,216.0,1059.2800782523532,NTCHISI,992,Ntchisi,992
Central,2,Rural,203,41.0,20307041.0,20307.0,TA Malenga,,392.0,371.0,181.0,755.2755061044991,NTCHISI,763 people,Ntchisi,763 people
Central,2,Rural,203,46.0,20307046.0,20307.0,TA Malenga,,336.0,314.0,139.0,614.3435589094614,NTCHISI,650.0,Ntchisi,650.0
Central,2,Rural,203,43.0,20307043.0,20307.0,TA Malenga,,539.0,591.0,247.0,977.7488144294344,Ntchisi District,1130.0,Ntchisi,1130.0
Central,2,Rural,203,44.0,20307044.0,20307.0,TA Malenga,,385.0,461.0,192.0,834.6590770859768,NTCHISI,846.0,NTCHISI,846.0
Central,2,Rural,203,27.0,20307027.0,20307.0,TA Malenga,,877.0,1004.0,379.0,1390.25505723763,NTCHISI,"1,881",Ntchisi,1881
Central,2,Rural,203,38.0,20307038.0,20307.0,TA Malenga,,484.0,516.0,244.0,1507.9020576426433,  Ntchisi  ,  1000  ,ntchisi,"1,000"
Central,2,Rural,203,39.0,20307039.0,20307.0,TA Malenga,,461.0,489.0,214.0,537.6851286946073,Ntchisi,  950  ,  Ntchisi  ,950
Central,2,Rural,203,19.0,20307019.0,20307.0,TA Malenga,,340.0,357.0,181.0,352.63055034722015,NTCHISI,697,NTCHISI,697
Central,2,Rural,203,18.0,20307018.0,20307.0,TA Malenga,,381.0,378.0,136.0,681.2226791945291,  Ntchisi  ,759.0,Ntchisi,  759  
Central,2,Rural,203,30.0,20307030.0,20307.0,TA Malenga,,632.0,664.0,293.0,1022.3511445967116,  Ntchisi  ,1296 people,Ntchisi,1296
Central,2,Rural,203,29.0,20307029.0,20307.0,TA Malenga,,463.0,531.0,228.0,961.8775514541524,Ntchisi District,  994  ,Ntchisi District,994
Central,2,Rural,203,20.0,20307020.0,20307.0,TA Malenga,,571.0,551.0,252.0,1095.000324200944,Ntchisi,1122,  Ntchisi  ,  1122  
Central,2,Rural,203,23.0,20307023.0,20307.0,TA Malenga,,262.0,282.0,137.0,599.7802492973569,Ntchisi,544,ntchisi,544 people
Central,2,Rural,203,26.0,20307026.0,20307.0,TA Malenga,,233.0,261.0,111.0,461.4021071980063,Ntchisi District,494,Ntchisi,494.0
Central,2,Rural,203,24.0,20307024.0,20307.0,TA Malenga,,377.0,359.0,162.0,506.913568215443,NTCHISI,  736  ,Ntchisi,736 people
Central,2,Rural,203,22.0,20307022.0,20307.0,TA Malenga,,465.0,503.0,244.0,1487.706032054057,Ntchisi District,  968  ,ntchisi,968
Central,2,Rural,203,21.0,20307021.0,20307.0,TA Malenga,,583.0,610.0,248.0,977.7831497371952,Ntchisi District,  1193  ,ntchisi,"1,193"
Central,2,Rural,203,803.0,20307803.0,20307.0,TA Malenga,Kamsonga Town Planning Area,319.0,284.0,138.0,491.3530147044927,  Ntchisi  ,603.0,Ntchisi,603 people
Central,2,Rural,203,801.0,20307801.0,20307.0,TA Malenga,Kamsonga Town Planning Area,328.0,334.0,160.0,463.23797519373034,Ntchisi,662,Ntchisi District,662 people
Central,2,Rural,203,2.0,20307002.0,20307.0,TA Malenga,,293.0,323.0,146.0,478.7367313892992,Ntchisi District,616,  Ntchisi  ,616 people
Central,2,Rural,203,1.0,20307001.0,20307.0,TA Malenga,,294.0,327.0,133.0,378.90026533361936,NTCHISI,621 people,Ntchisi,621.0
Central,2,Rural,203,3.0,20307003.0,20307.0,TA Malenga,,351.0,346.0,132.0,394.6623291284192,ntchisi,697.0,ntchisi,697
Central,2,Rural,203,4.0,20307004.0,20307.0,TA Malenga,,317.0,303.0,138.0,1309.8498882717577,  Ntchisi  ,  620  ,ntchisi,620
Central,2,Rural,203,8.0,20307008.0,20307.0,TA Malenga,,357.0,356.0,167.0,803.4285066714193,NTCHISI,713,Ntchisi District,713
Central,2,Rural,203,37.0,20307037.0,20307.0,TA Malenga,,352.0,415.0,160.0,656.4379084317242,NTCHISI,767 people,ntchisi,767
Central,2,Rural,203,67.0,20303067.0,20303.0,TA Kalumo,,586.0,581.0,283.0,928.757130607364,Ntchisi District,"1,167",Ntchisi,  1167  
Central,2,Rural,203,68.0,20303068.0,20303.0,TA Kalumo,,451.0,465.0,213.0,1140.6972528368196,Ntchisi,916,Ntchisi,916
Central,2,Rural,203,69.0,20303069.0,20303.0,TA Kalumo,,542.0,558.0,237.0,807.5833096529858,Ntchisi,"1,100",Ntchisi District,  1100  
Central,2,Rural,203,75.0,20303075.0,20303.0,TA Kalumo,,430.0,445.0,202.0,914.7897820213011,NTCHISI,  875  ,Ntchisi,875
Central,2,Rural,203,74.0,20303074.0,20303.0,TA Kalumo,,801.0,790.0,333.0,916.8523389927389,Ntchisi,  1591  ,NTCHISI,  1591  
Central,2,Rural,203,63.0,20303063.0,20303.0,TA Kalumo,,501.0,521.0,255.0,616.6260617104751,Ntchisi District,  1022  ,Ntchisi,1022 people
Central,2,Rural,203,66.0,20303066.0,20303.0,TA Kalumo,,562.0,608.0,271.0,997.5647357900943,NTCHISI,1170 people,Ntchisi,"1,170"
Central,2,Rural,203,65.0,20303065.0,20303.0,TA Kalumo,,475.0,552.0,302.0,1075.1212238350188,NTCHISI,1027 people,Ntchisi,1027.0
Central,2,Rural,203,64.0,20303064.0,20303.0,TA Kalumo,,266.0,291.0,134.0,652.5318283563834,Ntchisi District,557.0,Ntchisi District,557 people
Central,2,Rural,203,62.0,20303062.0,20303.0,TA Kalumo,,547.0,586.0,282.0,1135.2570892078493,NTCHISI,1133,Ntchisi,1133.0
Central,2,Rural,203,61.0,20303061.0,20303.0,TA Kalumo,,667.0,696.0,311.0,1001.4575078977164,Ntchisi,  1363  ,NTCHISI,1363.0
Central,2,Rural,203,70.0,20303070.0,20303.0,TA Kalumo,,532.0,559.0,225.0,1039.237225592396,  Ntchisi  ,1091,NTCHISI,1091 people
Central,2,Rural,203,73.0,20303073.0,20303.0,TA Kalumo,,404.0,412.0,182.0,620.4139611432014,ntchisi,816,ntchisi,  816  
Central,2,Rural,203,60.0,20303060.0,20303.0,TA Kalumo,,617.0,680.0,316.0,1103.9943270895135,Ntchisi,1297,Ntchisi,  1297  
Central,2,Rural,203,59.0,20303059.0,20303.0,TA Kalumo,,683.0,686.0,275.0,1185.9714075252605,Ntchisi District,1369 people,ntchisi,1369 people
Central,2,Rural,203,57.0,20303057.0,20303.0,TA Kalumo,,399.0,460.0,187.0,727.3700636392258,ntchisi,859,ntchisi,  859  
Central,2,Rural,203,56.0,20303056.0,20303.0,TA Kalumo,,215.0,192.0,83.0,436.7837677493252,  Ntchisi  ,407.0,Ntchisi District,407
Central,2,Rural,203,55.0,20303055.0,20303.0,TA Kalumo,,265.0,245.0,100.0,1161.9292188215095,Ntchisi,510,Ntchisi District,510
Central,2,Rural,203,54.0,20303054.0,20303.0,TA Kalumo,,407.0,420.0,177.0,883.3747570415292,NTCHISI,827,Ntchisi,827
Central,2,Rural,203,72.0,20303072.0,20303.0,TA Kalumo,,549.0,551.0,250.0,1306.876299972069,NTCHISI,1100.0,ntchisi,1100
Central,2,Rural,203,32.0,20303032.0,20303.0,TA Kalumo,,576.0,637.0,252.0,984.7268551709267,NTCHISI,"1,213",ntchisi,  1213  
Central,2,Rural,203,33.0,20303033.0,20303.0,TA Kalumo,,434.0,477.0,199.0,1154.229593735226,ntchisi,911,  Ntchisi  ,911.0
Central,2,Rural,203,71.0,20303071.0,20303.0,TA Kalumo,,512.0,560.0,242.0,1419.4298936221032,Ntchisi,"1,072",Ntchisi District,"1,072"
Central,2,Rural,203,38.0,20303038.0,20303.0,TA Kalumo,,144.0,192.0,80.0,1239.3818022587388,NTCHISI,336,Ntchisi,336.0
Central,2,Rural,203,37.0,20303037.0,20303.0,TA Kalumo,,228.0,226.0,96.0,563.342991196838,Ntchisi District,454,  Ntchisi  ,454
Central,2,Rural,203,39.0,20303039.0,20303.0,TA Kalumo,,172.0,229.0,101.0,866.700875209369,NTCHISI,401.0,NTCHISI,  401  
Central,2,Rural,203,35.0,20303035.0,20303.0,TA Kalumo,,457.0,467.0,192.0,823.1917255817621,  Ntchisi  ,924,Ntchisi District,  924  
Central,2,Rural,203,34.0,20303034.0,20303.0,TA Kalumo,,727.0,742.0,283.0,1354.583920915458,ntchisi,1469 people,ntchisi,1469 people
Central,2,Rural,203,31.0,20303031.0,20303.0,TA Kalumo,,681.0,733.0,306.0,1019.348775953171,  Ntchisi  ,1414 people,NTCHISI,1414
Central,2,Rural,203,44.0,20303044.0,20303.0,TA Kalumo,,437.0,478.0,213.0,1016.7159502435904,Ntchisi,915,ntchisi,915 people
Central,2,Rural,203,41.0,20303041.0,20303.0,TA Kalumo,,554.0,533.0,244.0,978.9653409980789,Ntchisi,1087,Ntchisi District,1087.0
Central,2,Rural,203,40.0,20303040.0,20303.0,TA Kalumo,,561.0,663.0,263.0,1249.5132124981935,NTCHISI,1224,NTCHISI,1224
Central,2,Rural,203,17.0,20303017.0,20303.0,TA Kalumo,,523.0,551.0,228.0,1008.344292992856,Ntchisi,1074.0,  Ntchisi  ,1074
Central,2,Rural,203,18.0,20303018.0,20303.0,TA Kalumo,,461.0,488.0,251.0,1175.7716921022395,Ntchisi District,949 people,NTCHISI,  949  
Central,2,Rural,203,36.0,20303036.0,20303.0,TA Kalumo,,515.0,515.0,230.0,1266.3902010296808,Ntchisi,1030,Ntchisi,1030 people
Central,2,Rural,203,19.0,20303019.0,20303.0,TA Kalumo,,428.0,474.0,239.0,1118.9313758405765,Ntchisi,  902  ,  Ntchisi  ,  902  
Central,2,Rural,203,30.0,20303030.0,20303.0,TA Kalumo,,550.0,593.0,285.0,980.8013371948125,Ntchisi,1143 people,NTCHISI,"1,143"
Central,2,Rural,203,29.0,20303029.0,20303.0,TA Kalumo,,551.0,609.0,235.0,875.8694028015909,Ntchisi,1160,NTCHISI,1160
Central,2,Rural,203,28.0,20303028.0,20303.0,TA Kalumo,,384.0,398.0,178.0,525.7793185841654,Ntchisi,782.0,  Ntchisi  ,782 people
Central,2,Rural,203,26.0,20303026.0,20303.0,TA Kalumo,,365.0,412.0,193.0,982.013862304751,  Ntchisi  ,777,Ntchisi,  777  
Central,2,Rural,203,25.0,20303025.0,20303.0,TA Kalumo,,573.0,612.0,263.0,693.6083303888472,Ntchisi,  1185  ,  Ntchisi  ,1185 people
Central,2,Rural,203,24.0,20303024.0,20303.0,TA Kalumo,,353.0,366.0,181.0,475.73654216983215,Ntchisi District,719,Ntchisi,  719  
Central,2,Rural,203,23.0,20303023.0,20303.0,TA Kalumo,,995.0,1075.0,451.0,1564.3436753857145,Ntchisi District,  2070  ,Ntchisi,"2,070"
Central,2,Rural,203,20.0,20303020.0,20303.0,TA Kalumo,,707.0,738.0,330.0,2016.730486404618,Ntchisi,  1445  ,Ntchisi,"1,445"
Central,2,Rural,203,22.0,20303022.0,20303.0,TA Kalumo,,791.0,836.0,375.0,868.6617059907362,  Ntchisi  ,"1,627",  Ntchisi  ,1627
Central,2,Rural,203,21.0,20303021.0,20303.0,TA Kalumo,,683.0,735.0,331.0,1109.7035933549516,Ntchisi,  1418  ,Ntchisi,1418.0
Central,2,Rural,203,16.0,20303016.0,20303.0,TA Kalumo,,475.0,499.0,211.0,1323.4164607708196,  Ntchisi  ,  974  ,Ntchisi,974.0
Central,2,Rural,203,15.0,20303015.0,20303.0,TA Kalumo,,661.0,698.0,323.0,958.9085478261544,Ntchisi District,1359 people,Ntchisi,1359 people
Central,2,Rural,203,14.0,20303014.0,20303.0,TA Kalumo,,494.0,512.0,225.0,748.8011069245082,Ntchisi,1006,ntchisi,1006 people
Central,2,Rural,203,58.0,20303058.0,20303.0,TA Kalumo,,838.0,856.0,363.0,951.0328067967284,  Ntchisi  ,1694.0,Ntchisi District,1694 people
Central,2,Rural,203,45.0,20303045.0,20303.0,TA Kalumo,,549.0,531.0,263.0,925.2837667679424,Ntchisi District,1080 people,  Ntchisi  ,1080.0
Central,2,Rural,203,46.0,20303046.0,20303.0,TA Kalumo,,565.0,620.0,269.0,655.705619581547,ntchisi,  1185  ,Ntchisi District,  1185  
